Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Sty1e,VN,ADC,6,16.70%,1.8,2.2,3.3,3.8,8.9,383,70.40%,21.5,393,1.22,0.57,0.35,0.14,-1211,-25,-560,16.70%,0%,0,-
Targamas,BE,SUPPORT,6,16.70%,2.3,0.2,3.2,7,1,217,63.30%,8.7,143,2.03,1.19,0.27,0.26,-345,5,-300,16.70%,16.70%,0,-
Tian,CN,JUNGLE,6,50%,3.9,1.8,2.3,7.3,5.4,330,62.70%,13.5,319,1.87,0.62,0.62,0.46,-300,1,-82,33.30%,0%,0,-
Trymbi,PL,SUPPORT,10,40%,2.4,0.3,3.1,7,0.7,223,61.60%,10.7,211,2.01,1.09,0.31,0.19,-429,-6,-304,20%,20%,0,-
Upset,DE,ADC,6,33.30%,4.8,3.3,1.3,3,9.7,423,55.70%,23.8,490,1.03,0.44,0.2,0.1,-561,4,166,16.70%,16.70%,0,1
Viper,KR,ADC,11,54.50%,5.2,4.2,1.8,5.3,9.6,442,70.20%,27.2,626,1.37,0.53,0.39,0.22,-67,-7,-228,36.40%,0%,0,-
Vulcan,CA,SUPPORT,6,16.70%,1.8,0.2,3.7,6.3,0.8,214,69.50%,8.4,157,2.03,1.3,0.2,0.3,-502,-3,-54,33.30%,16.70%,0,-
Wayward,CN,TOP,6,50%,1.4,1,4,4.5,8.2,365,34.50%,15.8,338,0.83,0.39,0.14,0.23,-47,2,-104,0%,33.30%,0,-
Wei,CN,JUNGLE,10,50%,4,2.2,2.4,7.4,5.1,330,65.60%,15.2,294,1.98,0.61,0.55,0.37,41,-5,65,40%,20%,0,1
Wunder,DK,TOP,6,33.30%,1.8,1.3,3,4.2,7.2,327,56.80%,18.3,368,0.98,0.46,0.14,0.13,-412,-6,-302,0%,0%,0,1
Yagao,CN,MID,14,71.40%,3.6,2.4,2.6,7.1,8.1,391,59.80%,22.1,524,1.03,0.27,0.28,0.11,-336,-13,-412,7.10%,0%,0,2
Zeka,KR,MID,21,66.70%,5.2,4,1.6,4.1,9.4,435,60.60%,22.7,481,1.09,0.36,0.25,0.22,141,0,-147,38.10%,9.50%,0,11
Zeus,KR,TOP,18,72.20%,3.2,3.6,3.2,6.6,7.7,423,63.20%,25,622,1,0.41,0.16,0.21,344,4,135,5.60%,16.70%,0,6
Zven,DK,SUPPORT,6,16.70%,0.9,0.8,4.5,3,0.9,219,65%,8.8,151,2.29,1.22,0.27,0.2,-180,0,-269,50%,33.30%,0,-
deokdam,KR,ADC,12,58.30%,5.2,4.5,1.9,5.4,8.8,448,67.30%,25,588,0.97,0.39,0.26,0.11,658,2,298,16.70%,8.30%,0,-
jojopyun,CA,MID,6,16.70%,1,1.3,3.8,2.7,7.7,347,40.20%,23.4,451,0.93,0.31,0.25,0.19,-233,-2,-216,0%,0%,0,-
kingen,KR,TOP,21,66.70%,3.5,2.7,2.2,5,7.4,372,61.30%,22.2,475,1.01,0.38,0.24,0.26,-44,1,114,33.30%,14.30%,0,7
meiko,CN,SUPPORT,11,54.50%,3.6,0.9,2.6,8.6,0.8,240,70.50%,7.2,165,2.63,1.46,0.34,0.46,-15,3,63,45.50%,9.10%,0,-
ssumday,KR,TOP,6,16.70%,1.9,2.2,2.8,3.3,8.5,374,58.80%,27.2,438,1.05,0.36,0.27,0.18,483,6,123,0%,16.70%,0,-
xiaohu,CN,MID,10,50%,2.9,2.7,2.6,4.8,8.5,392,59.80%,25.3,488,0.87,0.19,0.28,0.12,-190,-6,-123,40%,10%,0,-
